2023-11-30 09:51:49 startup archives install
2023-11-30 09:51:49 install base-passwd:loong64 <none> 3.6.3
2023-11-30 09:51:49 status half-installed base-passwd:loong64 3.6.3
2023-11-30 09:51:49 status unpacked base-passwd:loong64 3.6.3
2023-11-30 09:51:49 configure base-passwd:loong64 3.6.3 3.6.3
2023-11-30 09:51:49 status half-configured base-passwd:loong64 3.6.3
2023-11-30 09:51:50 status installed base-passwd:loong64 3.6.3
2023-11-30 09:51:50 startup archives install
2023-11-30 09:51:50 install base-files:loong64 <none> 13+b1
2023-11-30 09:51:50 status half-installed base-files:loong64 13+b1
2023-11-30 09:51:51 status unpacked base-files:loong64 13+b1
2023-11-30 09:51:51 configure base-files:loong64 13+b1 13+b1
2023-11-30 09:51:51 status half-configured base-files:loong64 13+b1
2023-11-30 09:51:52 status installed base-files:loong64 13+b1
2023-11-30 09:51:52 startup archives install
2023-11-30 09:51:53 upgrade dpkg 1.22.1 1.22.1
2023-11-30 09:51:53 status half-configured dpkg 1.22.1
2023-11-30 09:51:53 status unpacked dpkg 1.22.1
2023-11-30 09:51:53 status half-installed dpkg 1.22.1
2023-11-30 09:51:53 status unpacked dpkg:loong64 1.22.1
2023-11-30 09:51:54 configure dpkg:loong64 1.22.1 1.22.1
2023-11-30 09:51:54 status half-configured dpkg:loong64 1.22.1
2023-11-30 09:51:55 status installed dpkg:loong64 1.22.1
2023-11-30 09:51:55 startup archives install
2023-11-30 09:51:55 install libc6:loong64 <none> 2.37-9+loong64
2023-11-30 09:51:55 status half-installed libc6:loong64 2.37-9+loong64
2023-11-30 09:51:58 status unpacked libc6:loong64 2.37-9+loong64
2023-11-30 09:51:58 configure libc6:loong64 2.37-9+loong64 2.37-9+loong64
2023-11-30 09:51:58 status half-configured libc6:loong64 2.37-9+loong64
2023-11-30 09:51:58 status installed libc6:loong64 2.37-9+loong64
2023-11-30 09:51:59 startup archives install
2023-11-30 09:51:59 install perl-base:loong64 <none> 5.36.0-10
2023-11-30 09:51:59 status half-installed perl-base:loong64 5.36.0-10
2023-11-30 09:52:00 status unpacked perl-base:loong64 5.36.0-10
2023-11-30 09:52:00 configure perl-base:loong64 5.36.0-10 5.36.0-10
2023-11-30 09:52:00 status half-configured perl-base:loong64 5.36.0-10
2023-11-30 09:52:00 status installed perl-base:loong64 5.36.0-10
2023-11-30 09:52:00 startup archives install
2023-11-30 09:52:01 install mawk:loong64 <none> 1.3.4.20231102-1
2023-11-30 09:52:01 status half-installed mawk:loong64 1.3.4.20231102-1
2023-11-30 09:52:01 status unpacked mawk:loong64 1.3.4.20231102-1
2023-11-30 09:52:01 configure mawk:loong64 1.3.4.20231102-1 1.3.4.20231102-1
2023-11-30 09:52:01 status half-configured mawk:loong64 1.3.4.20231102-1
2023-11-30 09:52:01 status installed mawk:loong64 1.3.4.20231102-1
2023-11-30 09:52:01 startup archives unpack
2023-11-30 09:52:02 install apt:loong64 <none> 2.7.7
2023-11-30 09:52:02 status half-installed apt:loong64 2.7.7
2023-11-30 09:52:03 status unpacked apt:loong64 2.7.7
2023-11-30 09:52:03 upgrade base-files:loong64 13+b1 13+b1
2023-11-30 09:52:03 status half-configured base-files:loong64 13+b1
2023-11-30 09:52:03 status unpacked base-files:loong64 13+b1
2023-11-30 09:52:03 status half-installed base-files:loong64 13+b1
2023-11-30 09:52:03 status unpacked base-files:loong64 13+b1
2023-11-30 09:52:03 upgrade base-passwd:loong64 3.6.3 3.6.3
2023-11-30 09:52:03 status half-configured base-passwd:loong64 3.6.3
2023-11-30 09:52:03 status unpacked base-passwd:loong64 3.6.3
2023-11-30 09:52:03 status half-installed base-passwd:loong64 3.6.3
2023-11-30 09:52:04 status unpacked base-passwd:loong64 3.6.3
2023-11-30 09:52:04 install bash:loong64 <none> 5.2.21-2
2023-11-30 09:52:04 status half-installed bash:loong64 5.2.21-2
2023-11-30 09:52:05 status unpacked bash:loong64 5.2.21-2
2023-11-30 09:52:05 install coreutils:loong64 <none> 9.4-2
2023-11-30 09:52:05 status half-installed coreutils:loong64 9.4-2
2023-11-30 09:52:06 status unpacked coreutils:loong64 9.4-2
2023-11-30 09:52:06 install dash:loong64 <none> 0.5.12-6
2023-11-30 09:52:06 status half-installed dash:loong64 0.5.12-6
2023-11-30 09:52:07 status unpacked dash:loong64 0.5.12-6
2023-11-30 09:52:07 install debconf:all <none> 1.5.82
2023-11-30 09:52:07 status half-installed debconf:all 1.5.82
2023-11-30 09:52:07 status unpacked debconf:all 1.5.82
2023-11-30 09:52:07 install debian-archive-keyring:all <none> 2023.4
2023-11-30 09:52:07 status half-installed debian-archive-keyring:all 2023.4
2023-11-30 09:52:10 status unpacked debian-archive-keyring:all 2023.4
2023-11-30 09:52:10 install debianutils:loong64 <none> 5.14
2023-11-30 09:52:10 status half-installed debianutils:loong64 5.14
2023-11-30 09:52:10 status unpacked debianutils:loong64 5.14
2023-11-30 09:52:10 install diffutils:loong64 <none> 1:3.10-1
2023-11-30 09:52:10 status half-installed diffutils:loong64 1:3.10-1
2023-11-30 09:52:11 status unpacked diffutils:loong64 1:3.10-1
2023-11-30 09:52:11 upgrade dpkg:loong64 1.22.1 1.22.1
2023-11-30 09:52:11 status half-configured dpkg:loong64 1.22.1
2023-11-30 09:52:11 status unpacked dpkg:loong64 1.22.1
2023-11-30 09:52:11 status half-installed dpkg:loong64 1.22.1
2023-11-30 09:52:12 status unpacked dpkg:loong64 1.22.1
2023-11-30 09:52:12 install e2fsprogs:loong64 <none> 1.47.0-2+b1
